"OTU","Clade","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU001","k__Bacteria","Bacteria",,,,,,
"OTU002","k__Archaea","Archaea",,,,,,
"OTU003","k__Archaea|p__Euryarchaeota","Archaea","Euryarchaeota",,,,,
"OTU004","k__Archaea|p__Euryarchaeota|c__Methanobacteria","Archaea","Euryarchaeota","Methanobacteria",,,,
"OTU005","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales",,,
"OTU006","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",,
"OTU007","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",
"OTU008","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_oralis","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","oralis"
"OTU009","k__Bacteria|p__Firmicutes","Bacteria","Firmicutes",,,,,
"OTU010","k__Bacteria|p__Firmicutes|c__Clostridia","Bacteria","Firmicutes","Clostridia",,,,
"OTU011","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales","Bacteria","Firmicutes","Clostridia","Clostridiales",,,
"OTU012","k__Bacteria|p__Chloroflexi","Bacteria","Chloroflexi",,,,,
"OTU013","k__Bacteria|p__Chloroflexi|c__Anaerolineae","Bacteria","Chloroflexi","Anaerolineae",,,,
"OTU014","k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales",,,
"OTU015","k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",,
"OTU016","k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Anaerolineaceae_unclassified","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae",
"OTU017","k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Anaerolineaceae_unclassified|s__Anaerolineaceae_bacterium_oral_taxon_439","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae","bacterium_oral_taxon_439"
"OTU018","k__Bacteria|p__Actinobacteria","Bacteria","Actinobacteria",,,,,
"OTU019","k__Bacteria|p__Actinobacteria|c__Actinobacteria","Bacteria","Actinobacteria","Actinobacteria",,,,
"OTU020","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Family_XIII_Incertae_Sedis",,
"OTU021","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Family_XIII_Incertae_Sedis","Clostridiales_Family_XIII_Incertae_Sedis",
"OTU022","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",,,
"OTU023","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae",,
"OTU024","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",
"OTU025","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_minutum","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Family_XIII_Incertae_Sedis","Clostridiales_Family_XIII_Incertae_Sedis","minutum"
"OTU026","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_414","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","sp_oral_taxon_414"
"OTU027","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","cardiffensis"
"OTU028","k__Bacteria|p__Proteobacteria","Bacteria","Proteobacteria",,,,,
"OTU029","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria","Bacteria","Proteobacteria","Deltaproteobacteria",,,,
"OTU030","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales",,,
"OTU031","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",,
"OTU032","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae|g__Desulfobulbus","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfobulbus",
