clade_name,NCBI_tax_id,Soil_2_S57_trimmed_merged_profile,Soil_1_S56_trimmed_merged_profile,Sample_75_S163_trimmed_merged_profile,Sample_72_S162_trimmed_merged_profile,Sample_68_S161_trimmed_merged_profile,Sample_63_S160_trimmed_merged_profile,Sample_62_S159_trimmed_merged_profile,Sample_56_S158_trimmed_merged_profile,Sample_55_S157_trimmed_merged_profile,Sample_48_S156_trimmed_merged_profile,Sample_46_S155_trimmed_merged_profile,Sample_45_S154_trimmed_merged_profile,Sample_37_S152_trimmed_merged_profile,Sample_29_S151_trimmed_merged_profile,Sample_15_S150_trimmed_merged_profile,Sample_11_S149_trimmed_merged_profile
k__Bacteria,2,63.34998,100,24.38518,95.44637,100,70.61443,82.31928,77.52381,83.35184,71.30521,100,100,76.44477,84.15838,58.36443,100
k__Archaea,2157,36.65002,0,75.61482,4.55363,0,29.38557,17.68072,22.47619,16.64816,28.69479,0,0,23.55523,15.84162,41.63557,0
k__Archaea|p__Euryarchaeota,2157|28890,36.16634,0,68.02996,0,0,29.38557,17.61746,22.47619,16.64816,28.69479,0,0,23.55523,15.84162,41.63557,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria,2157|28890|183925,29.6841,0,68.02996,0,0,29.38557,17.61746,22.47619,16.64816,28.69479,0,0,23.55523,15.84162,41.63557,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,2157|28890|183925|2158,29.6841,0,68.02996,0,0,29.38557,17.61746,22.47619,16.64816,28.69479,0,0,23.55523,15.84162,41.63557,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,2157|28890|183925|2158|2159,29.6841,0,68.02996,0,0,29.38557,17.61746,22.47619,16.64816,28.69479,0,0,23.55523,15.84162,41.63557,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,2157|28890|183925|2158|2159|2172,0,0,68.02996,0,0,29.38557,17.61746,22.47619,16.64816,28.69479,0,0,23.55523,15.84162,41.63557,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_oralis,2157|28890|183925|2158|2159|2172|66851,0,0,68.02996,0,0,29.38557,17.61746,22.47619,16.64816,28.69479,0,0,23.55523,15.84162,41.63557,0
k__Bacteria|p__Firmicutes,2|1239,29.67121,0,6.83309,52.05255,44.59648,22.80755,40.46093,16.6178,40.20074,40.04209,46.68732,32.38428,21.58478,50.92826,25.07747,54.97437
k__Bacteria|p__Firmicutes|c__Clostridia,2|1239|186801,0,0,6.83309,52.05255,44.21644,21.7841,28.10883,3.34542,37.40088,36.89791,40.1465,25.9778,17.22696,47.00306,23.03809,40.70628
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,2|1239|186801|186802,0,0,6.83309,52.05255,44.21644,21.7841,28.10883,3.34542,37.40088,36.89791,40.1465,25.9778,17.22696,47.00306,23.03809,40.70628
k__Bacteria|p__Chloroflexi,2|200795,1.2682,0,5.88187,3.34968,23.81661,20.27565,8.10278,3.79215,11.82695,4.10172,19.74283,2.10554,2.74296,21.69484,5.48985,9.15778
k__Bacteria|p__Chloroflexi|c__Anaerolineae,2|200795|292625,0,0,5.88187,3.34968,23.81661,20.27565,8.10278,3.79215,11.82695,4.10172,19.74283,2.10554,2.74296,21.69484,5.48985,9.15778
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales,2|200795|292625|292629,0,0,5.88187,3.34968,23.81661,20.27565,8.10278,3.79215,11.82695,4.10172,19.74283,2.10554,2.74296,21.69484,5.48985,9.15778
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae,2|200795|292625|292629|292628,0,0,5.88187,3.34968,23.81661,20.27565,8.10278,3.79215,11.82695,4.10172,19.74283,2.10554,2.74296,21.69484,5.48985,9.15778
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Anaerolineaceae_unclassified,2|200795|292625|292629|292628|,0,0,5.88187,3.34968,23.81661,20.27565,8.10278,3.79215,11.82695,4.10172,19.74283,2.10554,2.74296,21.69484,5.48985,9.15778
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Anaerolineaceae_unclassified|s__Anaerolineaceae_bacterium_oral_taxon_439,2|200795|292625|292629|292628||1889813,0,0,5.88187,3.34968,23.81661,20.27565,8.10278,3.79215,11.82695,4.10172,19.74283,2.10554,2.74296,21.69484,5.48985,9.15778
k__Bacteria|p__Actinobacteria,2|201174,0,100,0.674,40.04414,13.06933,19.92222,15.56878,36.72518,16.03989,20.77231,6.74827,39.07169,21.13982,6.76158,13.80451,26.1879
k__Bacteria|p__Actinobacteria|c__Actinobacteria,2|201174|1760,0,0,0.674,29.10299,10.7392,19.92222,15.06247,35.93873,15.13827,20.20506,6.49613,38.50664,18.82291,6.01997,12.90834,24.29055
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis,2|1239|186801|186802|543314,0,0,1.03381,12.22855,36.85748,16.14283,10.97647,1.35962,16.8282,27.75456,12.59247,18.24686,8.2239,29.68071,8.60464,28.49958
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified,2|1239|186801|186802|543314|,0,0,1.03381,12.22855,36.85748,16.14283,10.72034,1.35962,16.77005,27.75456,12.59247,18.24686,8.2239,29.68071,8.60464,28.38613
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,2|201174|1760|2037,0,0,0,29.10299,6.35505,15.23769,6.08174,32.98515,10.27438,15.2109,6.04516,32.19067,14.75865,2.33182,10.50952,21.94976
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,2|201174|1760|2037|2049,0,0,0,29.10299,6.35505,15.23769,6.08174,32.98515,10.27438,15.2109,6.04516,32.19067,14.75865,2.33182,10.50952,21.94976
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,2|201174|1760|2037|2049|1654,0,0,0,29.10299,6.35505,15.23769,6.08174,32.98515,10.27438,15.2109,6.04516,31.90647,14.75865,2.33182,10.50952,21.94976
